weapons,year,number
Handguns,2012,6404
Rifles,2012,298
Shotguns,2012,310
Other guns,2012,116
"Firearms, type not stated",2012,1769
Handguns,2013,5782
Rifles,2013,285
Shotguns,2013,308
Other guns,2013,123
"Firearms, type not stated",2013,1956
Handguns,2014,5673
Rifles,2014,258
Shotguns,2014,264
Other guns,2014,93
"Firearms, type not stated",2014,2024
Handguns,2015,6569
Rifles,2015,258
Shotguns,2015,272
Other guns,2015,177
"Firearms, type not stated",2015,2502
Handguns,2016,7105
Rifles,2016,374
Shotguns,2016,262
Other guns,2016,186
"Firearms, type not stated",2016,3077
