id,state,year,corp_tax,corrections,education,health,welfare,general_rev,sales_tax,inc_tax,tot_gen_exp,tot_rev,tot_tax
01,Alabama,2014,406.408,550.956,10481.327,527.036,6630.759,22951.473,2393.192,3206.583,24788.868,28283.15,9296.846
02,Alaska,2014,408.938,336.833,2787.377,327.915,2106.052,10436.362,NA,NA,11484.542,12871.274,3392.869
04,Arizona,2014,575.18,1070.221,9797.942,2047.795,9100.585,29690.008,6317.644,3462.413,29295.921,39393.637,13424.271
05,Arkansas,2014,398.493,392.988,7638.152,305.095,5713.188,18038.745,3130.274,2602.16,18624.053,23437.178,8917.322
06,California,2014,8858.498,8969.13,80104.884,8849.151,83491.245,230758.996,37224.077,67995.659,235768.201,353385.953,138087.357
08,Colorado,2014,717.506,974.3,10159.802,1078.683,6720.061,24715.032,2615.601,5658.457,25370.351,34363.378,11755.394
09,Connecticut,2014,627.358,703.427,7311.315,996.659,7234.543,25845.19,3981.362,7772.602,24370.08,31300.691,15937.742
10,Delaware,2014,278.872,294.075,2878.862,447.05,2142.746,7576.36,NA,1040.341,8024.747,9269.214,3176.169
12,Florida,2014,2043.75,2196.334,25197.641,3860.685,24372.799,77778.332,21480.91,NA,74410.746,105540.313,36335.598
13,Georgia,2014,943.806,1473.794,17558.486,1181.073,11742.259,39001.446,5125.502,8965.572,39277.516,54201.631,18618.093
15,Hawaii,2014,126.045,216.708,3388.553,531.048,2585.28,11323.888,2825.041,1745.461,11214.8,15075.025,6052.795
16,Idaho,2014,190.002,257.492,2662.955,180.407,2228.086,7433.222,1373.666,1338.075,7402.811,10508.58,3669.222
17,Illinois,2014,4439.832,1412.219,17830.096,2233.738,21100.293,69110.282,10249.411,16642.154,65355.317,93007.715,41656.539
18,Indiana,2014,866.747,677.825,14685.887,498.272,10599.635,33475.63,7003.426,4896.317,33168.966,39745.149,17062.642
19,Iowa,2014,388.699,294.937,6796.581,259.785,5546.669,19189.794,2959.924,3197.578,18768.803,25497.318,8572.532
20,Kansas,2014,330.181,356.038,6142.18,362.946,3792.296,15391.445,2983.664,2511.66,15098.373,19012.887,7334.481
21,Kentucky,2014,674.464,523.674,9318.308,716.289,8350.165,25268.291,3131.157,3749.258,25890.312,31507.525,11103.545
22,Louisiana,2014,481.212,698.282,8774.718,501.28,8081.954,25351.939,2923.336,2753.68,27762.098,33275.548,9695.281
23,Maine,2014,182.928,142.949,2115.55,460.076,3362.384,8192.598,1191.685,1414.11,8291.041,10528.889,3847.181
24,Maryland,2014,982.784,1412.657,12036.329,2153.785,10835.51,35849.95,4195.996,7773.773,35700.548,44268.713,18929.069
25,Massachusetts,2014,2194.62,1137.031,13533.741,1203.877,16657.333,49390.773,5518.58,13246.221,48414.784,62129.159,25237.003
26,Michigan,2014,881.011,1877.858,23869.946,1306.119,15679.575,54855.239,8715.827,7874.712,55634.505,69155.181,25100.605
27,Minnesota,2014,1325.656,546.252,14762.621,481.489,12453.402,37035.583,5398.173,9623.831,36744.795,49809.32,23245.827
28,Mississippi,2014,526.302,382.143,5545.757,370.716,5812.078,17577.089,3304.632,1667.344,17374.197,23347.804,7575.395
29,Missouri,2014,357.724,824.451,9169.285,1640.651,8078.29,26676.934,3285.563,5361.976,26343.858,38507.979,11240.654
30,Montana,2014,150.139,198.745,1933.675,156.505,1503.493,5977.163,NA,1063.261,6262.764,8946.019,2655.553
31,Nebraska,2014,306.591,281.745,3447.948,474.341,2639.731,9789.158,1763.695,2124.164,9427.693,12122.749,4887.753
32,Nevada,2014,NA,273.498,4480.263,365.275,2726.279,11479.806,3828.869,NA,10868.04,19049.438,7143.169
33,New Hampshire,2014,542.847,98.675,2052.159,108.646,1764.553,5915.942,NA,92.743,6181.39,8265.021,2285.717
34,New Jersey,2014,2368.068,1419.416,17013.037,1472.033,15933.914,56558.996,8885.847,11973.673,53769.56,65657.635,29679.226
35,New Mexico,2014,205.702,443.021,5523.324,500.427,4224.9,15590.791,2098.676,1297.493,15578.408,20423.333,5757.432
36,New York,2014,4861.687,3258.256,41755.192,9191.039,54158.054,146972.023,12668.587,42964.774,145161.99,205908.648,76978.982
37,North Carolina,2014,1360.628,1188.175,19225.836,1298.574,12723.155,47258.359,5842.182,10390.52,45542.495,62098.794,23512.645
38,North Dakota,2014,250.438,89.185,2142.908,141.751,1059.971,8849.893,1320.196,498.528,6869.182,9966.662,6120.435
39,Ohio,2014,-0.118,1558.141,21655.682,2609.329,21482.417,62101.023,10217.826,8424.843,62003.922,96424.726,27020.507
40,Oklahoma,2014,397.29,594.618,7637.969,968.106,6526.977,21386.557,2599.203,2962.128,20380.676,28479.272,9048.524
41,Oregon,2014,495.134,790.239,7951.508,631.482,8028.287,24354.15,NA,6649.418,24344.379,37663.436,9681.898
42,Pennsylvania,2014,2301.589,1965.261,22994.801,2959.237,24375.771,70354.934,9497.906,10809.736,73356.159,89537.55,34192.869
44,Rhode Island,2014,137.528,186.784,2027.93,167.229,2541.747,7125.307,906.687,1109.636,6872.542,9004.258,2974.435
45,South Carolina,2014,366.263,502.419,8763.9,1065.22,6658.472,23147.634,3370.643,3455.706,23756.013,31942.184,9004.192
46,South Dakota,2014,24.819,124.382,1287.875,189.564,987.557,4161.877,914.979,NA,4085.016,6124.116,1608.496
47,Tennessee,2014,1176.971,944.945,10178.773,667.977,10928.901,26493.021,6192.281,239.219,28238.845,31290.576,11806.329
48,Texas,2014,NA,3824.467,50755.01,2892.76,32875.192,121565.029,32336.032,NA,115392.405,160029.654,55146.619
49,Utah,2014,307.91,324.913,7092.721,374.456,3148.743,14974.256,1823.355,2889.912,15357.196,19413.736,6312.489
50,Vermont,2014,105.817,139.875,2490.573,333.324,1673.26,5771.744,354.541,675.24,5885.464,6545.351,2962.531
51,Virginia,2014,740.511,1740.391,15082.735,1352.572,10221.303,41449.711,3565.789,10877.689,43709.646,53712.338,18930.418
53,Washington,2014,NA,972.718,16336.705,2507.751,9785.604,38295.614,11767.488,NA,40824.371,55071.735,19447.899
54,West Virginia,2014,203.508,303.23,4310.258,331.386,3720.938,12252.809,1221.966,1770.466,11745.372,15387.767,5386.588
55,Wisconsin,2014,981.282,1128.596,11287.25,653.655,9812.017,32395.07,4628.338,6793.269,33477.297,47214.048,16364.516
56,Wyoming,2014,NA,144.633,1771.532,272.735,793.057,5780.141,765.543,NA,5086.379,7451.248,2263.387
